id;nome;foto;foto_content_type;idade;posicao;camisa;numerode_gols
1;Soft;../fake-data/blob/hipster.png;image/png;45272;MeiaAtacanteDireito;54286;2017
2;withdrawal Assimilated Technician;../fake-data/blob/hipster.png;image/png;47486;Lateral;59620;17777
3;Clothing Director;../fake-data/blob/hipster.png;image/png;38636;AtacanteDireito;24383;6391
4;withdrawal;../fake-data/blob/hipster.png;image/png;24297;Goleiro;87601;32961
5;pink access;../fake-data/blob/hipster.png;image/png;73035;Ponta;89202;70124
6;deposit;../fake-data/blob/hipster.png;image/png;6947;Zagueiro;1741;36715
7;withdrawal;../fake-data/blob/hipster.png;image/png;3299;MeiaAtacanteEsquerdo;58952;44445
8;input quantifying;../fake-data/blob/hipster.png;image/png;40449;Ponta;75202;20057
9;Frozen hack capacitor;../fake-data/blob/hipster.png;image/png;76005;Zagueiro;29386;87824
10;Metal blue reinvent;../fake-data/blob/hipster.png;image/png;57097;Volante;49765;74697
