id;emblema;emblema_content_type;uniforme;uniforme_content_type;nome_clube;titulos_brasileiro;titulos_estadual;titulos_libertadores;titulos_mundial;maior_artilheiro;estado_origem;treinador;presidente;ano_fundacao
1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Re-contextualized Direct;73314;5881;37466;42172;engineer channels haptic;SP;azure;Orchestrator invoice up;2022-04-20
2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;solution;96825;28933;30315;52205;Bacon matrix Central;MA;Ridges;alarm Dynamic;2022-04-21
3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;District;62655;66134;53303;82529;blue Sausages Chief;SE;Developer open-source pink;Unbranded lime Jewelery;2022-04-20
4;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Checking Rubber actuating;35839;87604;90077;44893;deposit transmitting;SE;even-keeled;Shirt;2022-04-21
5;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Assistant Gourde olive;2436;82370;36754;70442;Chief feed;CE;New;hack grey;2022-04-21
6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Cambridgeshire card system;73108;63292;6414;50758;up;GO;Senior Borders eyeballs;technologies Pizza;2022-04-21
7;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Producer hack matrix;62319;44141;76565;52268;Auto;PE;program;Buckinghamshire paradigms Cotton;2022-04-20
8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Wall calculating Gold;96512;1715;54302;95082;bi-directional index;MG;port supply-chains virtual;Uganda invoice;2022-04-20
9;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;capacitor;8829;61788;64501;58848;Knoll transmit pixel;SP;Intelligent navigating invoice;Mouse;2022-04-21
10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;best-of-breed Tugrik;69352;62471;64685;15945;Investor;PI;Hungary PNG tolerance;white;2022-04-20
